CNAE,SIC Code,Description
1.6,100,Agricultural Production-Crops
10.6,200,Agricultural Prod-Livestock & Animal Specialties
1.6,700,Agricultural Services
2.1,800,Forestry
3.1,900,"Fishing, Hunting and Trapping"
7.1,1000,Metal Mining
24.4,1040,Gold and Silver Ores
24.4,1090,Miscellaneous Metal Ores
5.0,1220,Bituminous Coal & Lignite Mining
5.0,1221,Bituminous Coal & Lignite Surface Mining
6.0,1311,Crude Petroleum & Natural Gas
6.0,1381,Drilling Oil & Gas Wells
9.1,1382,Oil & Gas Field Exploration Services
9.1,1389,"Oil & Gas Field Services, NEC"
23.9,1400,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
43.9,1520,General Bldg Contractors - Residential Bldgs
43.9,1531,Operative Builders
43.9,1540,General Bldg Contractors - Nonresidential Bldgs
42.9,1600,Heavy Construction Other Than Bldg Const - Contractors
42.2,1623,"Water, Sewer, Pipeline, Comm & Power Line Construction"
42.9,1629,"Heavy Construction, Not Elsewhere Classified[12]"
43.9,1700,Construction - Special Trade Contractors
27.5,1731,Electrical Work
10.9,2000,Food and Kindred Products
10.1,2011,Meat Packing Plants
10.1,2013,Sausages & Other Prepared Meat Products
10.1,2015,Poultry Slaughtering and Processing
10.6,2020,Dairy Products
10.8,2024,Ice Cream & Frozen Desserts
10.9,2030,"Canned, Frozen & Preserved Fruit, Veg & Food Specialties"
10.9,2033,"Canned, Fruits, Veg, Preserves, Jams & Jellies"
25.9,2040,Grain Mill Products
1.5,2050,Bakery Products
10.7,2052,Cookies & Crackers
10.7,2060,Sugar & Confectionery Products
10.4,2070,Fats & Oils
11.2,2080,Beverages
11.2,2082,Malt Beverages
11.2,2086,Bottled & Canned Soft Drinks & Carbonated Waters
10.9,2090,Miscellaneous Food Preparations & Kindred Products
10.2,2092,Prepared Fresh or Frozen Fish & Seafood
12.2,2100,Tobacco Products
12.2,2111,Cigarettes
13.5,2200,Textile Mill Products
13.4,2211,"Broadwoven Fabric Mills, Cotton"
13.1,2221,"Broadwoven Fabric Mills, Man Made Fiber & Silk"
13.1,2250,Knitting Mills
13.1,2253,Knit Outerwear Mills
31.0,2273,Carpets & Rugs
13.5,2300,Apparel & Other Finished Prods of Fabrics & Similar Matl
14.1,2320,"Men's & Boys' Furnishings, Work Clothing, & Allied Garments"
14.1,2330,"Women's, Misses', and Juniors Outerwear"
53.2,2340,"Women's, Misses', Children's & Infant's Undergarments"
13.5,2390,Miscellaneous Fabricated Textile Products
16.2,2400,Lumber & Wood Products (No Furniture)
1.7,2421,"Sawmills & Planing Mills, General"
16.1,2430,"Millwood, Veneer, Plywood, & Structural Wood Members"
77.2,2451,Mobile Homes
16.1,2452,Prefabricated Wood Bldgs & Components
31.0,2510,Household Furniture
31.0,2511,"Wood Household Furniture, (No Upholstered)"
31.0,2520,Office Furniture
31.0,2522,Office Furniture (No Wood)
31.0,2531,Public Bldg & Related Furniture
43.2,2540,"Partitions, Shelvg, Lockers, & office & Store Fixtures"
31.0,2590,Miscellaneous Furniture & Fixtures
17.4,2600,Papers & Allied Products
16.1,2611,Pulp Mills
17.2,2621,Paper Mills
17.2,2631,Paperboard Mills
17.3,2650,Paperboard Containers & Boxes
17.3,2670,Converted Paper & Paperboard Prods (No Containers/Boxes)
17.3,2673,"Plastics, Foil & Coated Paper Bags"
58.2,2711,Newspapers: Publishing or Publishing & Printing
58.2,2721,Periodicals: Publishing or Publishing & Printing
58.2,2731,Books: Publishing or Publishing & Printing
18.1,2732,Book Printing
58.2,2741,Miscellaneous Publishing
18.1,2750,Commercial Printing
70.2,2761,Manifold Business Forms
