Grupo,Descrição
01.1,Produção de lavouras temporárias
01.2,Horticultura e floricultura
01.3,Produção de lavouras permanentes
01.4,Produção de sementes e mudas certificadas
01.5,Pecuária
01.6,"Atividades de apoio à agricultura e à pecuária; atividades de
pós-colheita"
01.7,Caça e serviços relacionados
02.1,Produção florestal - florestas plantadas
02.2,Produção florestal - florestas nativas
02.3,Atividades de apoio à produção florestal
03.1,Pesca
03.2,Aquicultura
05.0,Extração de carvão mineral
06.0,Extração de petróleo e gás natural
07.1,Extração de minério de ferro
07.2,Extração de minerais metálicos não ferrosos
08.1,"Extração de pedra, areia e argila"
08.9,Extração de outros minerais não metálicos
09.1,Atividades de apoio à extração de petróleo e gás natural
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
10.1,Abate e fabricação de produtos de carne
10.2,Preservação do pescado e fabricação de produtos do pescado
10.3,"Fabricação de conservas de frutas, legumes e outros vegetais"
10.4,Fabricação de óleos e gorduras vegetais e animais
10.5,Laticínios
10.6,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
10.7,Fabricação e refino de açúcar
10.8,Torrefação e moagem de café
10.9,Fabricação de outros produtos alimentícios
11.1,Fabricação de bebidas alcoólicas
11.2,Fabricação de bebidas não alcoólicas
12.1,Processamento industrial do fumo
12.2,Fabricação de produtos do fumo
13.1,Preparação e fiação de fibras têxteis
13.2,"Tecelagem, exceto malha"
13.3,Fabricação de tecidos de malha
13.4,"Acabamentos em fios, tecidos e artefatos têxteis"
13.5,"Fabricação de artefatos têxteis, exceto vestuário"
14.1,Confecção de artigos do vestuário e acessórios
14.2,Fabricação de artigos de malharia e tricotagem
15.1,Curtimento e outras preparações de couro
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro
15.3,Fabricação de calçados
15.4,"Fabricação de partes para calçados, de qualquer material"
16.1,Desdobramento de madeira
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
17.1,Fabricação de celulose e outras pastas para a fabricação de papel
17.2,"Fabricação de papel, cartolina e papel-cartão"
17.3,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado"
17.4,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado"
18.1,Atividade de impressão
18.2,Serviços de pré-impressão e acabamentos gráficos
18.3,Reprodução de materiais gravados em qualquer suporte
19.1,Coquerias
19.2,Fabricação de produtos derivados do petróleo
19.3,Fabricação de biocombustíveis
20.1,Fabricação de produtos químicos inorgânicos
20.2,Fabricação de produtos químicos orgânicos
20.3,Fabricação de resinas e elastômeros
20.4,Fabricação de fibras artificiais e sintéticas
20.5,Fabricação de defensivos agrícolas e desinfestantes domissanitários
